Date,score,VIX,2w_score,3w_score,4w_score,3D_vix,5D_vix,8D_vix,10D_vix,15D_vix,20D_vix,3_c_5,3_c_10,5_c_10,10_c_15,10_c_20,10_c_25,10_c_30,20_c_30,20_c_40,20_c_50,20_c_60,30_c_50,30_c_60,30_c_70,40_c_60,40_c_70,40_c_80,50_c_70,50_c_80,60_c_80,60_c_90,volume_score,3D_volume,5D_volume,8D_volume,10D_volume,15D_volume,20D_volume,close
2015-12-31,-0.3790142606,-0.7533650916827985,-0.41596001321999887,-0.41123648630126997,-0.41859999447998,-0.7687265048386217,-0.7710064097237181,-0.7610349450241155,-0.7373804945264728,-0.6829681101407961,-0.6916908640895393,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.6699054000998028,-0.7773247486756566,-0.8623204128946049,-0.8023174757658986,-0.6778252998494668,-0.5619358312016858,-0.5469797309476164,203.869995
2016-01-04,-0.3790142606,-0.6856559976708092,-0.4144799819999989,-0.40968940922184804,-0.4157796453284154,-0.7241877895856387,-0.7405965452855937,-0.7528985796544286,-0.7314872099165841,-0.6797480677631992,-0.687002784280465,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.21249088953272477,-0.5930235285268325,-0.709038529586925,-0.7257140411784233,-0.6515304260908408,-0.5204103631309234,-0.5304461591498254,201.020004
2016-01-05,-0.572153349,-0.7226376689969364,-0.4323138596199989,-0.4210272220993899,-0.4226531956320113,-0.7044249536620317,-0.7256981671230405,-0.7417517590979575,-0.736041115009046,-0.6917048316088305,-0.6788031697881461,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.6870659560590858,-0.5254936716325607,-0.6694019286076095,-0.7258261566197013,-0.7265529394089878,-0.5596305286845655,-0.554620321729054,201.360001
2016-01-06,-0.572153349,-0.6886471872563649,-0.4501477372399991,-0.432365034976932,-0.42952674593560747,-0.6814807623424163,-0.6980472677349273,-0.7213294820200435,-0.7297125343162026,-0.6967716592714995,-0.6702053400224695,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5114350861251706,-0.4725890959709804,-0.6169552322508394,-0.7002674406067484,-0.6982524683386286,-0.5714647354946543,-0.5398670251392468,198.820007
2016-01-07,-0.572153349,-0.5690006915295531,-0.4613352313399991,-0.4442625515564739,-0.43805670765382265,-0.6401234024854416,-0.6508384212520953,-0.6836987921852419,-0.701618978704291,-0.6872062486685298,-0.6568289269765009,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25044320760799843,-0.4852593004577782,-0.4845697839573738,-0.5977871531194563,-0.6435874109477209,-0.5482571009145014,-0.5074464161831309,194.050003
2016-01-08,-0.572153349,-0.5140720730367895,-0.47252272543999907,-0.45616006813601584,-0.44658666937203795,-0.5661814388385985,-0.5968854407052446,-0.6426101470683233,-0.6633126287400157,-0.6655420112635794,-0.6434344150463582,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.265845190684075,-0.34463671132365026,-0.4008453251890426,-0.5083450710959151,-0.5908332570822895,-0.543253228963942,-0.49347954183599807,191.919998
2016-01-11,-0.572153349,-0.587763464642734,-0.48371021953999893,-0.4680575847155578,-0.45511663109025313,-0.5304155182143708,-0.5748137816153536,-0.609169689467093,-0.6346498387585611,-0.6528512700774807,-0.6344564725116368,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.3589486866563175,-0.29372983762771454,-0.43119253461683027,-0.4491174168660712,-0.516422463488212,-0.5374485154579449,-0.4723263211229003,192.110001
2016-01-12,-0.6605365329999999,-0.6375255299109307,-0.5037360320399988,-0.48585140954279926,-0.4680826585801392,-0.5547093672798219,-0.5556236957098338,-0.5880965112959694,-0.6160324202712342,-0.6486604874469812,-0.6379318058063945,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.42538801280625793,-0.3521343453937137,-0.37697080315227127,-0.38136787043061227,-0.459611209330667,-0.5683559331566578,-0.48376794292518954,193.660004
2016-01-13,-0.6605365329999999,-0.5627464700816733,-0.5318882592799989,-0.5036452343700408,-0.4810486860700254,-0.5719657152419879,-0.5272370800743428,-0.5595785506752171,-0.5854275251342478,-0.6332232415465388,-0.6334247347498251,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.21753252902315579,-0.3360053884922868,-0.3160718778174153,-0.31530987503767327,-0.39100454699284537,-0.5206343610862421,-0.47234372975071603,188.830002
2016-01-14,-0.6605365329999999,-0.5972807451453233,-0.5600404865199992,-0.51700505668767,-0.49443580457659764,-0.5753398403257516,-0.5336133345561028,-0.546356956949476,-0.563126800417283,-0.6158208170664241,-0.6279945264767661,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.13400159386627486,-0.2609078500834944,-0.2919442580680369,-0.30384843280045537,-0.29626917874116443,-0.4699047271195149,-0.44679752575859044,191.929993
